AppID,游戏名称,发行日期,开发商,发行商,游戏类型,分类,标签,是否免费,货币,原价,现价,折扣百分比,格式化价格,总评论数,好评数,差评数,好评率,差评率,销量,平均游戏时长(分钟),中位数游戏时长(分钟),当前在线人数,24小时峰值,历史最高在线,支持语言,Windows支持,Mac支持,Linux支持,年龄限制,DLC数量,成就数量
730,Counter-Strike 2,2017 年 9 月 15 日,Valve,Valve,"动作, 免费开玩","多人, 跨平台多人, Steam 集换式卡牌, Steam 创意工坊, 应用内购买, 可调整文字大小, 视角舒适度, 可选颜色, 自定义音量控制, 无需应对快速反应事件, 立体声, 环绕声, 已启用 Valve 反作弊保护, 统计数据, 在手机上远程畅玩, 在平板上远程畅玩, 在电视上远程畅玩, Steam 时间轴","第一人称射击, 射击, 多人, 竞技, 动作, 团队导向, 电竞, 战术, 第一人称, 玩家对战",TRUE,CNY,0,0,0,Free,8815087,7642084,1173003,86.69%,13.31%,264452610,33152,6253,660171,1411377,1818368,"捷克语, 丹麦语, 荷兰语, 英语, 芬兰语, 法语, 德语, 匈牙利语, 意大利语, 日语, 韩语, 挪威语, 波兰语, 葡萄牙语 - 葡萄牙, 葡萄牙语 - 巴西, 罗马尼亚语, 俄语, 简体中文, 西班牙语 - 西班牙, 瑞典语, 泰语, 繁体中文, 土耳其语, 保加利亚语, 乌克兰语, 希腊语, 西班牙语 - 拉丁美洲, 越南语, 印度尼西亚语, 具有完全音频支持的语言",TRUE,FALSE,TRUE,0,1,1
1172470,Apex Legends™,2020 年 11 月 4 日,Respawn,Electronic Arts,"动作, 冒险, 免费开玩","多人, 玩家对战, 线上玩家对战, 合作, 在线合作, Steam 成就, 完全支持控制器, Steam 集换式卡牌, 应用内购买, 聊天语音转文字, 无需应对快速反应事件","免费开玩, 多人, 大逃杀, 第一人称射击, 射击, 第一人称, 玩家对战, 动作, 英雄射击, 团队导向",TRUE,CNY,0,0,0,Free,994979,668053,326926,67.14%,32.86%,29849370,10369,916,59783,168424,624473,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 日语, 韩语, 波兰语, 葡萄牙语 - 巴西, 俄语, 简体中文, 繁体中文, 西班牙语 - 拉丁美洲, 阿拉伯语, 具有完全音频支持的语言",TRUE,FALSE,FALSE,0,0,12
578080,PUBG: BATTLEGROUNDS,2017 年 12 月 21 日,PUBG Corporation,"KRAFTON, Inc.","动作, 冒险, 大型多人在线, 免费开玩","多人, 玩家对战, 线上玩家对战, 统计数据, 在手机上远程畅玩, 在平板上远程畅玩","生存, 射击, 大逃杀, 多人, 第一人称射击, 玩家对战, 第三人称射击, 动作, 在线合作, 战术",TRUE,CNY,0,0,0,Free,2557944,1520457,1037487,59.44%,40.56%,76738320,23461,5824,240479,651951,3236027,"英语, 韩语, 简体中文, 法语, 德语, 西班牙语 - 西班牙, 阿拉伯语, 日语, 波兰语, 葡萄牙语 - 葡萄牙, 俄语, 土耳其语, 泰语, 意大利语, 葡萄牙语 - 巴西, 繁体中文, 乌克兰语",TRUE,FALSE,FALSE,16,0,37
1623730,Palworld / 幻兽帕鲁,2024 年 1 月 18 日,Pocketpair,Pocketpair,"动作, 冒险, 独立, 角色扮演, 抢先体验","单人, 多人, 合作, 在线合作, 跨平台多人, Steam 成就, 完全支持控制器, Steam 集换式卡牌, Steam 云, 家庭共享","开放世界, 生存, 生物收集, 多人, 开放世界生存制作, 在线合作, 制作, 独立, 合作, 冒险",FALSE,CNY,108,81,25,¥81.00,380709,358266,22443,94.10%,5.90%,11421270,3830,2261,22546,38887,2101535,"英语, 简体中文, 繁体中文, 日语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 葡萄牙语 - 巴西, 俄语, 韩语, 印度尼西亚语, 西班牙语 - 拉丁美洲, 泰语, 土耳其语, 越南语, 波兰语",TRUE,FALSE,FALSE,0,1,56
440,Team Fortress 2,2007 年 10 月 10 日,Valve,Valve,"动作, 免费开玩","多人, 跨平台多人, Steam 成就, Steam 集换式卡牌, 支持字幕, Steam 创意工坊, 应用内购买, 视角舒适度, 可选颜色, 自定义音量控制, 立体声, 环绕声, 部分支持控制器, 已启用 Valve 反作弊保护, 统计数据, 包含关卡编辑器, 解说可用, 在手机上远程畅玩, 在平板上远程畅玩","免费开玩, 英雄射击, 多人, 第一人称射击, 射击, 动作, 职业导向, 团队导向, 欢乐, 第一人称",TRUE,CNY,0,0,0,Free,1161472,1044264,117208,89.91%,10.09%,34844160,22991,4608,34281,72738,253225,"英语, 丹麦语, 荷兰语, 芬兰语, 法语, 德语, 意大利语, 日语, 挪威语, 波兰语, 葡萄牙语 - 葡萄牙, 俄语, 简体中文, 西班牙语 - 西班牙, 瑞典语, 繁体中文, 韩语, 捷克语, 匈牙利语, 葡萄牙语 - 巴西, 土耳其语, 希腊语, 保加利亚语, 罗马尼亚语, 泰语, 乌克兰语, 西班牙语 - 拉丁美洲, 具有完全音频支持的语言",TRUE,FALSE,TRUE,0,1,520
1938090,使命召唤®,2022 年 10 月 27 日,"Treyarch, Raven Software, Beenox, High Moon Studios, Sledgehammer Games, Infinity Ward, Activision Shanghai, Demonware",Activision,动作,"单人, 多人, 玩家对战, 线上玩家对战, 合作, 在线合作, 跨平台多人, Steam 成就, 支持字幕, 应用内购买, 可调整文字大小, 视角舒适度, 可选颜色, 自定义音量控制, 无需应对快速反应事件, 立体声, 字幕选项, 环绕声, 部分支持控制器, 可用 HDR","暴力, 拟真, 成人, 血腥",FALSE,CNY,0,0,0,Free,714114,419594,294520,58.76%,41.24%,21423420,5443,646,28320,48409,488897,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 韩语, 波兰语, 俄语, 繁体中文, 日语, 西班牙语 - 拉丁美洲, 阿拉伯语, 简体中文, 葡萄牙语 - 巴西, 具有完全音频支持的语言",TRUE,FALSE,FALSE,18,40,157
1063730,New World: Aeternum,2021 年 9 月 28 日,Amazon Games,Amazon Games,"动作, 冒险, 大型多人在线, 角色扮演","多人, 大型多人在线, 玩家对战, 线上玩家对战, 合作, 在线合作, Steam 成就, 应用内购买, 可调整文字大小, 视角舒适度, 聊天语音转文字, 聊天文字转语音, 可选颜色, 自定义音量控制, 可以仅用键盘, 无需应对快速反应事件, 随时保存, 立体声, 字幕选项, 环绕声, 部分支持控制器","开放世界, 大型多人在线, 大型多人在线角色扮演, 角色扮演, 冒险, 动作, 玩家对战, 玩家对战环境, 多人, 奇幻",FALSE,CNY,430.99,430.99,0,¥430.99,286878,196798,90080,68.60%,31.40%,8606340,10243,3598,860,1731,913027,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 波兰语, 葡萄牙语 - 巴西, 西班牙语 - 拉丁美洲, 具有完全音频支持的语言",TRUE,FALSE,FALSE,0,2,133
2358720,黑神话：悟空,2024 年 8 月 19 日,Game Science,Game Science,"动作, 冒险, 角色扮演","单人, Steam 成就, 完全支持控制器, Steam 集换式卡牌, 无需应对快速反应事件, 立体声, 环绕声, Steam 云, 家庭共享","神话, 动作角色扮演, 动作, 类魂系列, 角色扮演, 战斗, 剧情丰富, 单人, 动作冒险, 剧情",FALSE,CNY,268,268,0,¥268.00,1150098,1111720,38378,96.66%,3.34%,34502940,3297,2823,7109,16422,2406967,"英语, 法语, 德语, 西班牙语 - 西班牙, 日语, 韩语, 波兰语, 葡萄牙语 - 巴西, 俄语, 简体中文, 繁体中文, 意大利语, 土耳其语, 泰语, 捷克语, 具有完全音频支持的语言",TRUE,FALSE,FALSE,16,2,81
271590,Grand Theft Auto V 传承版,2015 年 4 月 13 日,Rockstar North,Rockstar Games,"动作, 冒险","单人, 多人, 玩家对战, 线上玩家对战, 合作, 在线合作, Steam 成就, 完全支持控制器, 在手机上远程畅玩, 在平板上远程畅玩, 在电视上远程畅玩","开放世界, 动作, 多人, 犯罪, 汽车模拟, 第三人称, 第一人称, 成人, 射击, 冒险",FALSE,CNY,0,0,0,Free,1990556,1739980,250576,87.41%,12.59%,59716680,14125,5720,53712,105832,360761,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 韩语, 波兰语, 葡萄牙语 - 巴西, 俄语, 繁体中文, 日语, 简体中文, 西班牙语 - 拉丁美洲, 具有完全音频支持的语言",TRUE,FALSE,FALSE,17,0,77
550,Left 4 Dead 2,2009 年 11 月 16 日,Valve,Valve,动作,"单人, 多人, 玩家对战, 线上玩家对战, 合作, 在线合作, Steam 成就, 完全支持控制器, Steam 集换式卡牌, 支持字幕, Steam 创意工坊, 视角舒适度, 可选颜色, 自定义音量控制, 可调整难度, 无需应对快速反应事件, 立体声, 环绕声, Steam 云, 已启用 Valve 反作弊保护, 统计数据, 包括 Source SDK, 解说可用, 在手机上远程畅玩, 在平板上远程畅玩, 在电视上远程畅玩, 远程同乐, 家庭共享, Steam 时间轴","僵尸, 合作, 第一人称射击, 多人, 射击, 在线合作, 动作, 生存, 恐怖, 第一人称",FALSE,CNY,42,42,0,¥42.00,963983,940221,23762,97.54%,2.46%,28919490,2436,505,12920,24000,161590,"丹麦语, 荷兰语, 英语, 芬兰语, 法语, 德语, 意大利语, 日语, 韩语, 挪威语, 波兰语, 葡萄牙语 - 葡萄牙, 俄语, 简体中文, 西班牙语 - 西班牙, 瑞典语, 繁体中文, 匈牙利语, 土耳其语, 保加利亚语, 捷克语, 希腊语, 葡萄牙语 - 巴西, 罗马尼亚语, 西班牙语 - 拉丁美洲, 泰语, 乌克兰语, 越南语, 具有完全音频支持的语言",TRUE,FALSE,TRUE,0,0,101
304930,Unturned,2017 年 7 月 7 日,Smartly Dressed Games,Smartly Dressed Games,"动作, 冒险, 休闲, 独立, 免费开玩","单人, 多人, 玩家对战, 线上玩家对战, 局域网玩家对战, 合作, 在线合作, 局域网合作, Steam 成就, Steam 集换式卡牌, Steam 创意工坊, 应用内购买, 视角舒适度, 自定义音量控制, 可调整难度, 无需应对快速反应事件, 立体声, Steam 云, 已启用 Valve 反作弊保护, 统计数据, 包含关卡编辑器, 在平板上远程畅玩","免费开玩, 生存, 僵尸, 多人, 开放世界, 合作, 沙盒, 制作, 射击, 后末日",TRUE,CNY,0,0,0,Free,555368,506516,48852,91.20%,8.80%,16661040,9164,333,8392,10343,112648,英语,TRUE,TRUE,TRUE,0,1,88
236390,War Thunder,2013 年 8 月 15 日,Gaijin Entertainment,Gaijin Network Ltd,"动作, 大型多人在线, 模拟, 免费开玩","单人, 多人, 大型多人在线, 玩家对战, 线上玩家对战, 合作, 在线合作, 跨平台多人, Steam 成就, 完全支持控制器, 已支持 VR, Steam 集换式卡牌, 应用内购买, 可调整文字大小, 视角舒适度, 可选颜色, 自定义音量控制, 无需应对快速反应事件, 立体声, 环绕声, 在手机上远程畅玩, 在平板上远程畅玩","免费开玩, 模拟, 车辆作战, 战斗, 二战, 虚拟现实, 飞行, 战争, 军事, 坦克",TRUE,CNY,0,0,0,Free,757086,484469,272617,63.99%,36.01%,22712580,10320,481,30814,68574,121180,"英语, 德语, 法语, 意大利语, 西班牙语 - 西班牙, 简体中文, 俄语, 日语, 波兰语, 捷克语, 土耳其语, 葡萄牙语 - 葡萄牙, 韩语, 葡萄牙语 - 巴西, 匈牙利语, 乌克兰语, 繁体中文, 罗马尼亚语, 具有完全音频支持的语言",TRUE,TRUE,TRUE,0,38,90
2246340,Monster Hunter Wilds,2025 年 2 月 27 日,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","动作, 冒险, 角色扮演","单人, 多人, 合作, 在线合作, 跨平台多人, Steam 成就, 完全支持控制器, Steam 集换式卡牌, 可调整文字大小, 视角舒适度, 可选颜色, 自定义音量控制, 可以仅用键盘, 立体声, 字幕选项, 环绕声, Steam 云, 可用 HDR, 家庭共享","狩猎, 动作, 多人, 在线合作, 合作, 角色自定义, 恋爱模拟, 龙, 开放世界, 第三人称",FALSE,CNY,348,348,0,¥348.00,218415,127273,91142,58.27%,41.73%,6552450,4514,3314,8148,18948,1179869,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 阿拉伯语, 西班牙语 - 拉丁美洲, 葡萄牙语 - 巴西, 波兰语, 俄语, 简体中文, 繁体中文, 日语, 韩语, 具有完全音频支持的语言",TRUE,FALSE,FALSE,0,141,50
553850,HELLDIVERS™ 2,2024 年 2 月 8 日,Arrowhead Game Studios,PlayStation Publishing LLC,动作,"多人, 合作, 在线合作, Steam 成就, 应用内购买, 可调整文字大小, 视角舒适度, 聊天语音转文字, 聊天文字转语音, 可选颜色, 自定义音量控制, 可调整难度, 朗读游戏菜单, 无需应对快速反应事件, 立体声, 字幕选项, 环绕声, 部分支持控制器, 家庭共享","动作, 多人, 合作, 在线合作, Steam 成就, 应用内购买",FALSE,CNY,198,198,0,¥198.00,1017635,775883,241752,76.24%,23.76%,30529050,4806,2279,24235,39716,458208,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 日语, 韩语, 葡萄牙语 - 巴西, 西班牙语 - 拉丁美洲, 波兰语, 葡萄牙语 - 葡萄牙, 俄语, 简体中文, 繁体中文, 具有完全音频支持的语言",TRUE,FALSE,FALSE,18,1,38
230410,Warframe 星际战甲,2013 年 3 月 25 日,Digital Extremes,Digital Extremes,"动作, 角色扮演, 免费开玩","单人, 多人, 合作, 在线合作, 跨平台多人, Steam 成就, 完全支持控制器, Steam 集换式卡牌, Steam 创意工坊, 应用内购买, 视角舒适度, 可选颜色, 自定义音量控制, 无需应对快速反应事件, 立体声, 环绕声, 在手机上远程畅玩, 在平板上远程畅玩, 在电视上远程畅玩, 可用 HDR","免费开玩, 刷宝射击游戏, 动作角色扮演, 第三人称射击, 动作, 角色扮演, 第三人称, 角色自定义, 大型多人在线, 在线合作",TRUE,CNY,0,0,0,Free,626503,545393,81110,87.05%,12.95%,18795090,12745,550,113846,173377,181509,"英语, 德语, 法语, 意大利语, 韩语, 西班牙语 - 西班牙, 简体中文, 俄语, 日语, 波兰语, 葡萄牙语 - 巴西, 繁体中文, 土耳其语, 乌克兰语, 泰语, 具有完全音频支持的语言",TRUE,FALSE,FALSE,18,15,193
1245620,艾尔登法环,2022 年 2 月 24 日,"FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment","动作, 角色扮演","单人, 多人, 玩家对战, 线上玩家对战, 合作, 在线合作, Steam 成就, 完全支持控制器, Steam 集换式卡牌, 视角舒适度, 自定义音量控制, 无需应对快速反应事件, 随时保存, 立体声, 环绕声, Steam 云, 家庭共享","类魂系列, 开放世界, 黑暗奇幻, 角色扮演, 困难, 动作角色扮演, 多人, 第三人称, 奇幻, 单人",FALSE,CNY,298,298,0,¥298.00,1056677,981540,75137,92.89%,7.11%,31700310,8032,5454,16048,26558,952523,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 日语, 韩语, 波兰语, 葡萄牙语 - 巴西, 俄语, 简体中文, 西班牙语 - 拉丁美洲, 泰语, 繁体中文, 阿拉伯语, 具有完全音频支持的语言",TRUE,FALSE,FALSE,16,2,42
105600,Terraria,2011 年 5 月 16 日,Re-Logic,Re-Logic,"动作, 冒险, 独立, 角色扮演","单人, 多人, 玩家对战, 线上玩家对战, 合作, 在线合作, Steam 成就, 完全支持控制器, Steam 集换式卡牌, Steam 云, 在手机上远程畅玩, 在平板上远程畅玩, 在电视上远程畅玩, 家庭共享","开放世界生存制作, 沙盒, 生存, 2D, 多人, 冒险, 像素图形, 制作, 建造, 探索",FALSE,CNY,42,42,0,¥42.00,1409473,1373979,35494,97.48%,2.52%,42284190,7749,2133,16068,26518,486918,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 波兰语, 葡萄牙语 - 巴西, 俄语, 简体中文",TRUE,TRUE,TRUE,0,2,115
431960,Wallpaper Engine：壁纸引擎,2018 年 11 月 16 日,Wallpaper Engine Team,Wallpaper Engine Team,"休闲, 独立, 动画制作和建模, 设计和插画, 照片编辑, 实用工具","Steam 成就, Steam 集换式卡牌, Steam 创意工坊, Steam 创意工坊, 包含关卡编辑器","成人, 实用工具, 动漫, 软件, 设计与插画, 动画制作和建模, 第一人称, 工作场所不宜, 独立, 网络梗",FALSE,CNY,22.9,22.9,0,¥22.90,894458,876898,17560,98.04%,1.96%,26833740,5326,1009,75238,124666,150271,"英语, 德语, 简体中文, 波兰语, 葡萄牙语 - 巴西, 法语, 意大利语, 西班牙语 - 西班牙, 芬兰语, 日语, 韩语, 瑞典语, 泰语, 繁体中文, 土耳其语, 葡萄牙语 - 葡萄牙, 俄语, 丹麦语, 捷克语, 阿拉伯语, 乌克兰语, 印度尼西亚语, 波斯语",TRUE,FALSE,FALSE,0,1,17
1086940,博德之门3,2023 年 8 月 3 日,Larian Studios,Larian Studios,"冒险, 角色扮演, 策略","单人, 多人, 合作, 在线合作, 局域网合作, 跨平台多人, Steam 成就, 完全支持控制器, Steam 集换式卡牌, 可调整文字大小, 视角舒适度, 可选颜色, 自定义音量控制, 可调整难度, 无需应对快速反应事件, 随时保存, 立体声, 字幕选项, 环绕声, Steam 云, 在电视上远程畅玩, 远程同乐, 家庭共享","角色扮演, 角色自定义, 选择取向, 剧情丰富, 回合制战斗, 龙与地下城, 电脑角色扮演, 奇幻, 色情内容, 冒险",FALSE,CNY,298,298,0,¥298.00,760662,736688,23974,96.85%,3.15%,22819860,7410,4337,29020,52376,875343,"英语, 法语, 德语, 西班牙语 - 西班牙, 波兰语, 俄语, 简体中文, 土耳其语, 葡萄牙语 - 巴西, 意大利语, 西班牙语 - 拉丁美洲, 繁体中文, 乌克兰语, 韩语, 日语, 具有完全音频支持的语言",TRUE,TRUE,FALSE,18,2,54
291550,Brawlhalla,2017 年 10 月 17 日,Blue Mammoth Games,Ubisoft,"动作, 独立, 免费开玩","单人, 多人, 玩家对战, 线上玩家对战, 同屏/分屏玩家对战, 合作, 在线合作, 同屏/分屏合作, 同屏/分屏, 跨平台多人, Steam 成就, Steam 集换式卡牌, 部分支持控制器, 在手机上远程畅玩, 在平板上远程畅玩, 在电视上远程畅玩, 远程同乐","免费开玩, 多人, 格斗, 2D 格斗, 2D 平台, 休闲, 本地多人, 合作, 平台游戏, 控制器",TRUE,CNY,0,0,0,Free,386456,314809,71647,81.46%,18.54%,11593680,2495,211,6599,14707,34169,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 日语, 韩语, 葡萄牙语 - 巴西, 俄语, 简体中文, 繁体中文, 西班牙语 - 拉丁美洲, 土耳其语, 具有完全音频支持的语言",TRUE,TRUE,FALSE,0,4,65
4000,Garry's Mod,2006 年 11 月 29 日,Facepunch Studios,Valve,"休闲, 独立, 模拟","单人, 多人, 玩家对战, 线上玩家对战, 局域网玩家对战, 合作, 在线合作, 局域网合作, 跨平台多人, Steam 成就, Steam 集换式卡牌, 支持字幕, Steam 创意工坊, 可选颜色, 自定义音量控制, 可调整难度, 无需应对快速反应事件, 随时保存, 立体声, Steam 云, 已启用 Valve 反作弊保护, 包含关卡编辑器, 包括 Source SDK, 在平板上远程畅玩, 家庭共享","沙盒, 可模组化, 多人, 物理, 建造, 休闲, 欢乐, 第一人称, 单人, 第一人称射击",FALSE,CNY,36,36,0,¥36.00,1159707,1122546,37161,96.80%,3.20%,34791210,10746,1331,10757,23888,73750,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 保加利亚语, 捷克语, 丹麦语, 荷兰语, 芬兰语, 希腊语, 匈牙利语, 日语, 韩语, 挪威语, 波兰语, 葡萄牙语 - 葡萄牙, 葡萄牙语 - 巴西, 俄语, 简体中文, 瑞典语, 泰语, 繁体中文, 土耳其语, 乌克兰语, 越南语, 克罗地亚语, 爱沙尼亚语, 希伯来语, 立陶宛语, 斯洛伐克语, 具有完全音频支持的语言",TRUE,TRUE,TRUE,0,0,29
1085660,命运2,2019 年 10 月 1 日,Bungie,Bungie,"动作, 冒险, 免费开玩","单人, 多人, 玩家对战, 线上玩家对战, 合作, 在线合作, Steam 成就, 应用内购买, 可选颜色, 自定义音量控制, 字幕选项, 部分支持控制器","免费开玩, 开放世界, 刷宝射击游戏, 多人, 大型多人在线角色扮演, 第一人称射击, 合作, 玩家对战环境, 玩家对战, 射击",TRUE,CNY,0,0,0,Free,625616,497891,127725,79.58%,20.42%,18768480,12072,557,24097,37142,316651,"英语, 法语, 意大利语, 德语, 西班牙语 - 西班牙, 日语, 韩语, 波兰语, 葡萄牙语 - 巴西, 俄语, 简体中文, 西班牙语 - 拉丁美洲, 繁体中文, 具有完全音频支持的语言",TRUE,FALSE,FALSE,0,16,23
